Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,MACD_signal,MACD_hist,daily_return,avg_sentiment,median_sentiment,rolling_corr,rolling_corr_5
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,,2.721686363220215,,0.0,0.0,0.0,,0.2240055120849398,0.2240055120849398,,
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.79426571877622,1181608400,,2.732626029423305,,0.0091631392128443,0.0018326278425688,0.0073305113702755,0.04220416308238395,-0.9659718668569282,-0.9659718668569282,,
2009-01-06,2.789766788482666,2.914229252603177,2.7708724008265406,2.877640546798946,1289310400,,2.7380680064765777,,0.012505591549941,0.0039672205840433,0.0085383709658977,-0.016493988374736812,-0.8038513683022479,-0.8038513683022479,,
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,,2.7372504670835447,,0.0101729122017348,0.0052083589075816,0.0049645532941532,-0.021608596776550693,0.6715968709383511,0.6715968709383511,,
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,,2.741337970083296,,0.01227266402769,0.0066212199316033,0.0056514440960867,0.018569593611619473,0.1891504637501331,0.1891504637501331,,
2009-01-09,2.7165889739990234,2.80056402649374,2.703393211800058,2.795465832185914,546845600,,2.738980922837175,,0.0087059785796363,0.0070381716612099,0.0016678069184264,-0.02286921007214293,0.6537541591728675,0.6537541591728675,,
2009-01-12,2.659006834030152,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,,2.7313643429507914,,0.0012189064096603,0.0058743186109,-0.0046554122012396,-0.021196485931438636,-0.4883561132184935,-0.4883561132184935,,
2009-01-13,2.6305136680603027,2.691395462126428,2.589726327697364,2.646409280691181,798397600,,2.721759516770745,,-0.0069338831046921,0.0033126782677815,-0.0102465613724737,-0.010715717464578,0.7564947330455871,0.7564947330455871,,
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,,2.706271463761585,,-0.0189364056255727,-0.0011371385108892,-0.0177992671146834,-0.0271348933679465,-0.20362786778397335,-0.20362786778397335,,
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,,2.686688664814181,,-0.0327895932632933,-0.00746762946137,-0.0253219638019232,-0.022852599128546425,0.08931902499052646,0.08931902499052646,,
